nombre,web,tipos
156008039-001,www.consolatdemar.com,Productos culturales en soporte físico
348637554,www.cartujacenter.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
"ABEJA SONORA, S.L (AUDITORIO PEDRO DIAZ)",,"Artes en vivo, patrimonio cultural y artes audiovisuales"
A.E. Fowler Instrumentos Musicales ,www.fowlerinstruments.com,"Consumo digital o online, Productos culturales en soporte físico"
Agenda OPERA 2001 ,,"Artes en vivo, patrimonio cultural y artes audiovisuales"
Aonaentradas,https://aonaentradas.com/,"Consumo digital o online, Artes en vivo, patrimonio cultural y artes audiovisuales, Productos culturales en soporte físico"
APP CONSTANTINA,,"Consumo digital o online, Productos culturales en soporte físico"
ARENAL SOUND,www.arenalsound.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
ARTESIETE ALHSUR,,"Artes en vivo, patrimonio cultural y artes audiovisuales"
ASTROBARCELONA,www.astronomia.barcelona,"Artes en vivo, patrimonio cultural y artes audiovisuales"
ASTROLIBROS.2,www.astrolibros.com,Productos culturales en soporte físico
A TENDA DOS LIBROS,,Productos culturales en soporte físico
Atrapa Entradas,www.atrapaentradas.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
Atrium Viladecans,https://atriumviladecans.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
AUDITORI DE MANACOR,,"Artes en vivo, patrimonio cultural y artes audiovisuales"
"AUDITORIO DE TENERIFE, S.A.U.",,"Artes en vivo, patrimonio cultural y artes audiovisuales"
Auditorio El Carmelo,,"Artes en vivo, patrimonio cultural y artes audiovisuales"
AUTOCINES MADRID,www.autocines.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
AYUNTAMIENTO DE VILLASECA DE LA SAGRA,www.villasecadelasagra.es,"Artes en vivo, patrimonio cultural y artes audiovisuales"
BAILA.FM,,"Artes en vivo, patrimonio cultural y artes audiovisuales"
BARCELONA ROCK FEST,www.barcelonarockfest.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
Batidora Ediciones,https://batidoraediciones.es,Productos culturales en soporte físico
bclever,www.bclever.ai,Consumo digital o online
BCLEVER  APP,www.bclever.ai,"Artes en vivo, patrimonio cultural y artes audiovisuales"
bikubo,https://bikubo.com,"Consumo digital o online, Artes en vivo, patrimonio cultural y artes audiovisuales, Productos culturales en soporte físico"
Bilbao Museoa web,https://bilbaomuseoa.eus/,"Artes en vivo, patrimonio cultural y artes audiovisuales, Productos culturales en soporte físico"
bonodiscotecasmallorca.com,www.bonodiscotecasmallorca.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
BONUS TRACK,,Productos culturales en soporte físico
BRAVA MADRID,https://bravamadrid.com/,"Artes en vivo, patrimonio cultural y artes audiovisuales"
BRILLA TORREVIEJA,www.brillatorrevieja.com,"Artes en vivo, patrimonio cultural y artes audiovisuales, Productos culturales en soporte físico"
BROT CULTURAL,www.larambleta.com,"Artes en vivo, patrimonio cultural y artes audiovisuales"
caballodelmalo.com,https://caballodelmalo.com/,Productos culturales en soporte físico
CALLE ATOCHA 49,,"Artes en vivo, patrimonio cultural y artes audiovisuales"
"Calle Salzillo - Soportales de la Catedral, Letra E",,Productos culturales en soporte físico
CanetRock,https://www.canetrock.cat,"Artes en vivo, patrimonio cultural y artes audiovisuales"
CARLIN ,,Productos culturales en soporte físico
CARLIN UBEDA,,Productos culturales en soporte físico
"CARRETERA D,ESPLUGUES 1 , 19 - 08940-COENALLÁ DE LLOBREGAT - BARCELONA",,"Artes en vivo, patrimonio cultural y artes audiovisuales"
Casa de Cultura Intxaurrondo,,"Consumo digital o online, Artes en vivo, patrimonio cultural y artes audiovisuales, Productos culturales en soporte físico"
